,time,Backbone,C-alphas,Protein
0,0.0,2.272962920090553e-06,2.2007868840144232e-07,2.2237902462429827e-07
1,1.0000000328495406,1.2886839890262505,1.2763256454343366,1.7423609710452046
2,2.0000000656990813,1.6827040218293332,1.6897235275743157,2.091049154688937
3,3.0000000985486217,2.0400148767764548,2.05074102819811,2.4320964393085807
4,4.000000131398163,2.375578616361132,2.389209325723338,2.742342805607816
5,5.000000164247703,2.6488907164448636,2.666784919271813,3.0022119685582065
6,6.000000197097243,2.733382446578273,2.757104135809364,3.1054357113794375
7,7.000000229946784,2.7763829868711762,2.7946277643195403,3.108102467289227
8,8.000000262796325,2.946462681559645,2.9673645508572095,3.295054115719198
9,9.000000295645865,2.815835154669228,2.853446220805131,3.26148392605894
10,10.000000328495407,2.9845863417315486,3.0157397108383024,3.4377670105823914
11,11.000000361344947,3.2094394470273633,3.23152750428811,3.6522777276236584
12,12.000000394194487,2.9018098346558197,2.9381197150098606,3.3511568740583897
13,13.000000427044029,3.066126738234981,3.1139167485542587,3.557979425837325
14,14.000000459893569,3.089288716632784,3.137641165325087,3.5656065096329908
15,15.00000049274311,2.9327119526941,2.9751770148405785,3.463825031806028
16,16.00000052559265,3.2490567711990597,3.2816355048915913,3.7400718024902972
17,17.000000558442192,3.112866396699396,3.1536130673538803,3.6148538797568173
18,18.00000059129173,3.3424382639022,3.379571733333603,3.7685818377212965
19,19.000000624141272,3.24334112125851,3.266155073369141,3.6590588394141457
