#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
109989,-1450239.0781182814,276404.9243778631,-1173834.1537404184,298.07244899629427,1089.4167676660004,60.4
113322,-1451686.5693945438,275678.05861737207,-1176008.5107771717,297.2886038538505,1086.213996311542,60.4
116655,-1452106.694521741,277224.6245264708,-1174882.06999527,298.95640586243206,1090.5963731241295,60.4
119988,-1449976.0808683746,276890.70360202144,-1173085.377266353,298.59630870444636,1089.4163566208001,60.4
123321,-1448806.4714162024,276108.5578152588,-1172697.9136009435,297.75285010595275,1091.4543106080532,60.5
126654,-1450915.6089153662,275878.33183429,-1175037.2770810763,297.5045765915629,1088.8146335712727,60.5
129987,-1449694.965475847,275710.3204122769,-1173984.6450635702,297.3233946675017,1090.0318148867009,60.5
133320,-1451153.4755558372,277536.5696480806,-1173616.9059077566,299.2928045230564,1089.656348928249,60.5
136653,-1449943.163800044,275267.8255287402,-1174675.3382713038,296.8462123817627,1090.3014749908793,60.5
139986,-1452642.5968448576,277047.50831966056,-1175595.088525197,298.76540542479626,1088.9657574952307,60.5
143319,-1451893.188397847,275457.95089549036,-1176435.2375023568,297.0512417740976,1087.6096951805753,60.6
146652,-1450378.5273935227,276709.19663999777,-1173669.3307535248,298.40057331803075,1090.8461491971102,60.5
149985,-1450183.9267909927,276629.7574126503,-1173554.1693783426,298.31490680866904,1089.4393864189128,60.6
153318,-1448886.603101273,276509.78283539275,-1172376.8202658803,298.18552736240576,1092.7864087770574,60.6
156651,-1450089.2714600824,275696.13766927767,-1174393.1337908048,297.3081001319619,1089.3878704084727,60.5
159984,-1448912.0109534012,274928.11206875567,-1173983.8988846457,296.4798686083929,1090.4740936625483,60.6
163317,-1452506.471923573,276784.6077105675,-1175721.8642130054,298.4818959013267,1089.1337817063525,60.6
166650,-1448056.3739398438,276481.41887584084,-1171574.955064003,298.1549399374317,1092.3698555577214,60.6
169983,-1451539.4178529074,275387.565756917,-1176151.8520959904,296.97533910819993,1089.5902154918986,60.6
173316,-1450791.7520292941,276539.9683002134,-1174251.7837290808,298.2180790813863,1089.9141318204922,60.6
176649,-1448375.117171158,277429.0387238867,-1170946.0784472714,299.17684419424006,1091.5074590246418,60.6
179982,-1451257.9791816864,278284.156387095,-1172973.8227945915,300.0989949722198,1086.5990084592793,60.6
