frame,pc1,pc2,pc3,pc4,pc5
1,45.077806773179326,19.570955652920656,21.77762908988023,-5.822871543488351,-7.128696481492036
2,46.87273481230301,19.64956111940324,23.753615348763304,-6.774409793457368,-6.145124348117105
3,42.58334958840507,23.992753536939766,22.716382962808613,-3.1965824824108475,-10.34562587589148
4,42.94392357840092,19.73254553931476,20.63208506515011,0.1605816567445595,-9.585875905604375
5,44.60885773293613,19.018631965308725,20.008314433153373,-5.813479022683338,-9.654043579412065
6,45.529163246577674,19.73293807568014,17.957171718947187,-1.4856847916827833,-13.48133389833639
7,43.86598414183411,23.582993564250977,16.38352723155406,-1.6887112536942546,-16.434623332125113
8,44.52431048926312,26.562703425873405,17.09488159552784,-2.57962846099705,-14.308106217166593
9,43.97078926098512,22.841881739535438,18.5478698960499,-2.4788277490697306,-10.902819355929516
10,47.41398501778215,20.250141249971875,17.437314266753358,-4.304663965136916,-10.240911256336055
11,44.62397154378124,18.244992976170664,16.964101342631814,-2.9538682599919577,-13.835106379313364
12,42.18376152466912,18.37482864930604,13.098790969982478,0.06045697431361685,-12.604531238069924
13,43.274650126632345,18.373456648706068,13.923246019255048,-5.132085417925255,-9.249155304044459
14,46.12025575273553,17.947207197216795,13.527192442983193,-5.383395524048868,-9.281519468831815
15,48.13746307180625,14.652311276261623,11.156744740218041,-2.005843321625224,-11.026238363010105
16,50.30485319300553,13.701712566317365,11.711274028077144,-1.1132799421703716,-8.887771930914523
17,51.58637431609307,16.41300220063233,15.380778192461657,0.7178968606333659,-5.991533539358969
18,51.79913418011885,17.58091952405114,16.330189054900565,2.4881758609524773,-0.3471047143679143
19,50.316570955133834,16.884418349882274,16.300376651868614,0.8271433442856709,2.1827150198578074
20,49.85439900388939,13.589576533685591,13.63874928148512,4.96793454697423,1.3797038621150106
21,47.13241427211413,8.523847816284421,9.150326284715115,4.6553662298763605,1.0994890601618603
22,50.74425664916251,7.8822659820416785,8.528011012024727,2.8649630041943137,2.3964406832855927
23,50.50849517532981,5.646247603518116,9.738530394781877,-0.8722325292413626,3.921544300304628
24,51.91181551060676,5.236540380493678,12.631466861987704,-1.2902801113290154,3.0692216291848697
25,46.529067551813,3.8083618914808586,13.939650256078147,-3.315145723151751,3.712120050096339
26,43.82198199327456,-0.8149303803923251,6.468894099200032,-4.698972035367566,6.947551087486472
27,45.220031827669494,1.5346229290269453,6.433843581559596,-0.9371955771088947,8.897213100082451
28,41.790154501401226,1.3097802174502444,8.138784835613357,-5.375462578661364,8.902627769800912
29,41.119356132988166,2.2141859613628068,7.815096581709665,-6.954722519344676,10.241627738313841
30,38.82723315005222,0.48927583859198753,7.784536922520266,-4.746458168020521,9.879521293096001
31,34.85206443173631,-2.732044666856918,6.795040509192549,-6.878887325010728,11.334390300602822
32,30.21746320856976,-7.1964766658903105,3.6674424494500517,-6.436944471544356,8.315698406672974
33,31.71182366205056,-3.566597950376639,6.1813270822112765,-3.7963013642734036,9.533116598362177
34,36.24334459377273,-3.804694863831861,4.467121905523508,-6.297274644828408,9.601256996417227
35,34.449529896652265,-5.604224199696012,2.694786425114996,-5.805233942522689,9.087283938163456
36,34.53544922983512,-8.939665097433453,2.595819719063521,-5.641211808448405,9.525403824537786
37,32.68450712797765,-8.290435152543463,-1.7678988873455503,-5.093729724656609,11.783597790890544
38,36.349633623007705,-10.201977551730725,-2.338485562736046,-8.332735888434847,8.99850541946655
39,35.371806422279995,-13.079228920673609,-4.481922865707078,-7.121807844290987,9.657256875232502
40,34.917661800362296,-15.218749602040743,-2.2581015228102643,-6.102139838045242,8.002832050484121
41,34.364891568585236,-15.767347547132658,-4.611642076996549,-4.774277006194269,5.669223834297511
42,33.66236824198301,-17.356262781873816,-6.362472771260128,-5.009431558490897,6.566615569935446
43,34.69790061196536,-18.41435236555804,-6.539328183602742,-6.508637007826727,7.967406611482574
