#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
169983,-922493.0135775898,180761.5452497193,-741731.4683278705,297.8921610044468,700.5435128210707,91.4
173316,-920606.8288021497,180048.23592346802,-740558.5928786817,296.7166385426971,700.8470566749387,91.4
176649,-919620.5079641072,181568.33277822347,-738052.1751858838,299.22173406162284,702.7035063964065,91.4
179982,-922247.5203698575,180378.76567445218,-741868.7546954054,297.2613463325144,701.8643751933956,91.4
183315,-922438.5895578293,180286.39688735432,-742152.192670475,297.1091240356762,701.0541170610261,91.4
186648,-921754.8799630385,180196.07828340144,-741558.801679637,296.9602804081598,700.527350074396,91.4
189981,-921438.9232458891,181680.89564615267,-739758.0275997365,299.40723588353944,702.7852206155283,91.4
193314,-921234.4099525074,181209.67975642363,-740024.7301960837,298.63067956733244,702.4378353969478,91.4
196647,-921793.5270121023,179724.72677127412,-742068.8002408282,296.18350058839036,701.8634492659558,91.5
199980,-922122.1051410316,180622.5410682006,-741499.564072831,297.6630843169021,701.8525582935753,91.5
203313,-921012.1902654525,181615.88808581,-739396.3021796425,299.3001044546432,700.1719828589596,91.5
206646,-921694.6620332422,181139.17796959437,-740555.4840636478,298.5144937402848,702.7518478493657,91.5
209979,-921690.7932515349,181440.8026887509,-740249.990562784,299.0115664958744,703.432932770938,91.5
213312,-920999.3674375322,181620.1033448338,-739379.2640926983,299.307051134691,701.8508442237265,91.5
216645,-921360.7994395904,180211.6427002179,-741149.1567393725,296.9859303203346,701.8951742166598,91.5
219978,-921358.3654817604,181858.3672177191,-739499.9982640413,299.69970622006895,702.8631857201782,91.5
223311,-923391.2541453326,181131.0448214393,-742260.2093238933,298.501090441058,699.0550773268004,91.6
226644,-923335.9618213391,181598.06129854894,-741737.9005227902,299.27072619184054,701.4197687865548,91.5
229977,-920722.8825995056,181220.1419838827,-739502.7406156228,298.6479211523299,702.6511611837931,91.6
233310,-920195.6794628128,181760.68257179623,-738434.9968910166,299.5387234721581,702.994062729642,91.6
236643,-920296.5476182448,180161.61774757685,-740134.9298706679,296.9034899914151,701.5470703604817,91.5
239976,-920676.2012453256,180567.12840051757,-740109.072844808,297.5717651190035,701.9088639621624,91.5
243309,-921261.1415457167,180732.4027425844,-740528.7388031322,297.8441346146772,700.4910261366431,91.6
246642,-920137.0366113828,181572.14507946162,-738564.8915319212,299.22801667362785,701.0267122601801,91.6
249975,-920122.3912796946,180075.23388746602,-740047.1573922286,296.76113075937394,700.6299455872573,91.6
253308,-921566.9649153892,180722.35909938044,-740844.6058160088,297.8275828498965,701.3149361337744,91.6
256641,-919870.8191701546,180035.14750464354,-739835.6716655111,296.69506903596175,702.1713565659328,91.6
259974,-921391.4166444102,182279.1588695403,-739112.2577748699,300.3931641915666,702.995855375962,91.6
263307,-921401.6235141242,181361.28614572983,-740040.3373683944,298.88052449353125,702.6873605601003,91.6
266640,-921042.462093696,181643.88186076217,-739398.5802329339,299.3462377519861,701.8724989823749,91.6
269973,-922455.3875281578,180593.0006185127,-741862.386909645,297.6144021241137,699.7979954858256,91.6
273306,-921882.9793700539,181220.97615648972,-740662.0032135642,298.6492958555624,703.4768863750203,91.6
276639,-922394.7478745887,181864.06871586136,-740530.6791587274,299.709102198623,700.9973336620932,91.6
279972,-920036.6701732781,181225.62763245427,-738811.0425408238,298.6569614142133,703.6602757046286,91.6
283305,-922320.9388604006,181179.10242010513,-741141.8364402954,298.58028860181435,701.7015254454095,91.6
286638,-921927.4744285652,179766.7555624503,-742160.718866115,296.2527633699769,702.1496952804453,91.6
289971,-922160.976917902,181695.3232754881,-740465.6536424139,299.4310123879667,700.6875093326024,91.6
293304,-923511.778683994,179978.80323112383,-743532.9754528701,296.60221456641284,700.2984680430927,91.6
296637,-922585.4794431003,180153.4711847109,-742432.0082583893,296.89006458495743,700.7913735489941,91.6
299970,-923018.6511580404,181529.19276023022,-741489.4583978101,299.1572319324468,699.2422269807115,91.6
303303,-921533.2366356701,180654.88718826364,-740878.3494474064,297.7163902099911,700.5125368266682,91.6
306636,-922810.2013012413,180437.95041501883,-742372.2508862225,297.3588818467275,701.0038100144108,91.6
309969,-922516.2463340135,180579.5886684747,-741936.6576655388,297.59229944306736,700.5111900832982,91.6
313302,-920028.0517766196,182295.84861953568,-737732.203157084,300.42066863498064,702.3133339813585,91.6
316635,-922830.8308997173,180456.88823896862,-742373.9426607487,297.3900910803802,700.7772739940615,91.6
319968,-922905.2404693188,182240.09962018655,-740665.1408491323,300.32879516782805,701.2070097541175,91.6
323301,-922245.6217470476,180604.2593019426,-741641.3624451051,297.63295625592514,701.0844111222583,91.6
326634,-922037.0364821795,181561.23400246206,-740475.8024797174,299.2100353917032,701.0962708401929,91.6
329967,-921078.0222358936,180788.85582582187,-740289.1664100718,297.9371684009161,701.3765544757116,91.6
