time,92,98,159,161,186
0,12.28400973,10.64012003,2.103106249,13.36037314,5.70051975
3.000000099,12.31421974,10.72714375,0.938327316,13.06813009,6.30641865
6.000000197,12.34710625,11.56652895,1.074605944,13.07738872,6.485138484
9.000000296,12.32504734,11.54631924,1.357411498,13.27121184,6.217427291
12.00000039,12.27085321,11.53825689,2.023067722,13.16397938,5.443515323
15.00000049,12.37066316,10.57922244,1.706888408,13.45767469,4.902684477
18.00000059,12.28577083,11.53471664,1.893140216,13.35384735,5.242443698
21.00000069,12.29257916,11.59077961,1.281286953,13.43294649,5.0338083
24.00000079,12.34050959,10.8121192,1.543692558,13.17617989,4.445729205
