time,Original,Mimic
0,5.564918724,6.668044589
1.000000033,5.706825318,5.995464754
2.000000066,5.382500306,6.267514242
3.000000099,5.388649171,5.855981914
4.000000131,5.619688654,5.850682858
5.000000164,4.036158335,5.964092596
6.000000197,5.700953602,6.35490982
7.00000023,5.286100279,5.889319417
8.000000263,5.136137601,5.759689396
9.000000296,5.37660846,5.986572499
10.00000033,5.267396656,5.887859165
11.00000036,5.005750191,6.085307655
12.00000039,3.968709418,5.834447661
13.00000043,5.172604481,6.002952501
14.00000046,5.495481821,5.636163446
15.00000049,5.228811329,5.672349237
16.00000053,5.462498802,5.873779677
17.00000056,5.249081096,5.577071637
18.00000059,5.425890599,5.857231667
19.00000062,5.50952186,6.10684837
20.00000066,5.180495165,6.102381511
21.00000069,5.100198773,7.962764354
22.00000072,5.333366995,5.136573532
23.00000076,5.378619268,5.600538973
24.00000079,5.477640141,5.930651676
25.00000082,5.447589319,5.963318303
26.00000085,5.361921064,5.891564362
27.00000089,5.571296186,5.951813263
28.00000092,5.379949746,5.481918971
29.00000095,5.456132856,5.954532445
30.00000099,5.446270425,6.028094001
31.00000102,5.328695225,7.929818625
32.00000105,6.082779746,7.878160266
33.00000108,5.372437591,6.185527138
34.00000112,6.22389882,6.339189723
35.00000115,5.982468601,6.143082668
36.00000118,5.937576299,6.221064554
37.00000122,5.463965979,5.946423144
38.00000125,5.321883179,6.091417334
39.00000128,5.245109947,5.917400895
40.00000131,5.136039608,6.000475209
41.00000135,5.263683289,6.117300807
42.00000138,5.588422334,6.120821607
43.00000141,5.10258003,5.773388942
44.00000145,5.222365912,5.49158178
45.00000148,5.245463296,5.591330895
46.00000151,5.48409743,5.744479343
47.00000154,5.232702225,5.846444204
48.00000158,4.281531027,6.355483488
49.00000161,5.21122644,5.889998129
50.00000164,5.683984463,6.274642793
51.00000168,5.092376019,5.724721179
52.00000171,5.214471009,5.854954993
53.00000174,5.413504995,5.934092973
54.00000177,5.175921659,5.91168285
55.00000181,5.661478681,5.701599915
56.00000184,5.546025958,5.673591915
57.00000187,5.907794419,5.698535919
58.00000191,6.077515642,5.499640967
59.00000194,6.097950165,5.774176827
60.00000197,5.692401396,5.602746877
61.000002,5.634520034,5.178250802
62.00000204,5.381888181,7.049615172
63.00000207,5.258427689,5.348843095
64.0000021,5.386355772,5.550319684
65.00000214,5.263380174,7.197323501
66.00000217,4.537073063,5.752336098
67.0000022,5.119618197,7.262983268
68.00000223,5.483849033,7.295306428
69.00000227,5.343503254,5.426233407
70.0000023,5.469451231,5.434090905
71.00000233,5.366740109,7.427667748
72.00000237,5.423321357,7.302271472
73.0000024,5.409874522,7.211656888
74.00000243,5.233622694,5.553797955
75.00000246,5.573912525,7.526282892
76.0000025,5.501545846,5.775872634
77.00000253,5.82897957,7.273434436
78.00000256,5.515224807,7.320152006
79.0000026,4.336079806,7.468131034
80.00000263,4.358471595,7.115836011
81.00000266,5.190622841,5.620012789
82.00000269,5.195794697,7.315330242
83.00000273,5.336632213,7.140462452
84.00000276,5.577256207,5.775218042
85.00000279,5.689905545,8.322969564
86.00000283,5.33807214,6.133029591
87.00000286,5.311777179,6.162303228
88.00000289,5.238615566,6.115548482
89.00000292,5.400401017,7.574263175
90.00000296,5.639858696,5.959545028
91.00000299,5.381398691,6.190151227
92.00000302,6.020607307,5.953145783
93.00000306,6.155474672,7.923701616
94.00000309,6.319882082,7.975435281
95.00000312,5.792205284,6.090796701
96.00000315,6.163272749,7.86578841
97.00000319,6.497873007,5.809464108
98.00000322,6.603858838,6.242203291
99.00000325,5.853184053,8.100105404
100.0000033,6.238142986,6.383848707
101.0000033,6.366480135,6.245305421
102.0000034,6.068810001,6.042476501
103.0000034,6.297820134,6.025968976
104.0000034,5.995010155,5.753738143
105.0000034,6.259907498,5.500894257
106.0000035,6.346358999,5.556530597
107.0000035,5.913808295,6.04099734
108.0000035,5.592241953,5.910322967
109.0000036,5.24634869,5.779441367
110.0000036,5.598985707,5.451977831
111.0000036,5.74076103,5.574988113
112.0000037,5.718251021,5.55118343
113.0000037,5.782651276,5.569324216
114.0000037,5.686346644,5.716719381
115.0000038,5.80498465,5.415418274
116.0000038,5.370009109,5.265168996
117.0000038,6.239270305,5.743054545
118.0000039,5.803992381,4.525257552
119.0000039,5.794992955,5.517308249
120.0000039,5.25057265,4.462561254
121.000004,5.289126496,5.123400256
122.000004,5.270857464,5.674238445
123.000004,5.376779628,5.221223838
124.0000041,5.385603542,5.41604189
125.0000041,5.471668562,5.585603502
126.0000041,5.462029429,5.775952319
127.0000042,5.887897701,5.982491644
128.0000042,4.434436386,6.403274288
129.0000042,5.159483422,5.947492683
130.0000043,5.227053434,5.996552809
131.0000043,5.033168671,6.282924825
132.0000043,5.226503075,5.783901501
133.0000044,5.619106642,6.022480747
134.0000044,5.328345696,5.985585646
135.0000044,5.371066892,6.03570467
136.0000045,5.322487698,5.747986727
137.0000045,5.274677797,5.62909726
138.0000045,4.97672127,5.481778217
139.0000046,5.67652066,5.515360985
140.0000046,5.500865831,4.587147686
141.0000046,5.487482809,5.304679966
142.0000047,5.522509744,5.463096632
143.0000047,6.432348226,5.677426432
144.0000047,5.727626202,4.587308114
145.0000048,5.805532734,5.59246671
146.0000048,5.648893252,5.587047512
147.0000048,4.598653092,4.365962633
148.0000049,4.417592657,5.158042205
149.0000049,5.572708433,4.391232367
150.0000049,5.215941031,5.373832596
151.000005,5.405982768,5.414645
152.000005,4.362922849,4.630943939
153.000005,5.173712517,4.491307896
154.0000051,5.417803317,5.4922117
155.0000051,5.084805281,5.973921366
156.0000051,4.314258211,5.461563644
157.0000052,4.887651659,5.328088101
158.0000052,3.974647434,5.632721668
159.0000052,3.433855495,5.49081113
160.0000053,3.627111574,5.371949558
161.0000053,3.429701266,4.488467103
162.0000053,3.65285627,4.621048902
163.0000054,3.686419656,5.795903405
164.0000054,3.64774996,5.367417305
165.0000054,3.657134302,5.542670553
166.0000055,3.555542219,5.494082865
167.0000055,3.619256832,4.432354128
168.0000055,3.554113828,5.412625435
169.0000056,3.7348887,5.613973218
170.0000056,3.875353238,5.621647196
171.0000056,3.648110522,5.65011998
172.0000057,3.827017054,5.33968422
173.0000057,3.987064988,4.542703514
174.0000057,4.054691791,5.415338407
175.0000057,3.851186992,5.671918283
176.0000058,3.528272842,5.537931774
177.0000058,3.625415832,5.535367735
178.0000058,3.687932366,5.403066461
179.0000059,3.640575255,6.24350052
180.0000059,3.498126168,5.68011868
181.0000059,3.943024993,5.758994977
182.000006,3.561924801,5.758781548
183.000006,3.36805475,5.038834796
184.000006,3.687046877,5.56279667
185.0000061,3.52635212,5.718792005
186.0000061,3.584825871,5.304053775
187.0000061,3.702265738,5.802468649
188.0000062,3.617288775,5.361348723
189.0000062,3.724896906,5.516333579
190.0000062,3.463207114,5.378400444
191.0000063,3.75090848,5.514853836
192.0000063,3.515174524,5.687324212
193.0000063,3.750113492,5.123360748
194.0000064,3.707587508,6.150940593
195.0000064,4.224073291,4.43810762
196.0000064,3.522012911,4.423939974
197.0000065,4.088378015,4.438290135
198.0000065,3.990712655,5.355098471
199.0000065,3.500666472,5.583494015
200.0000066,3.7407061,5.549068367
201.0000066,3.450491489,5.486564689
202.0000066,3.300744354,5.655104385
203.0000067,4.109307697,5.595825015
204.0000067,4.236452409,6.19428116
205.0000067,3.438988055,5.507539803
206.0000068,3.262901076,5.712255415
207.0000068,4.038289187,5.621288203
208.0000068,4.290567198,5.666480471
209.0000069,4.164690376,5.574565789
210.0000069,3.61586779,4.521668808
211.0000069,3.419143365,5.304768429
212.000007,4.409010715,4.280432734
213.000007,3.26246162,5.328077762
214.000007,3.452647512,4.620924182
215.0000071,4.714359062,5.400346015
216.0000071,4.701001175,5.658300556
217.0000071,4.294906147,4.412452116
218.0000072,3.998255319,5.502190086
219.0000072,4.354508746,5.516548138
220.0000072,3.58401455,4.223656651
221.0000073,3.943724458,4.358459037
222.0000073,3.304061797,4.384783266
223.0000073,3.503254068,5.589619609
224.0000074,3.648234848,5.353787504
225.0000074,4.134791168,5.246227498
226.0000074,4.206279601,5.686498876
227.0000075,3.683237204,5.258235617
228.0000075,3.351298295,5.287914923
229.0000075,4.054143925,5.447171747
230.0000076,4.097770908,5.54608659
231.0000076,3.345636995,5.342831704
232.0000076,4.119114054,5.495435616
233.0000077,3.500134033,5.809929308
234.0000077,3.367550653,5.664488742
235.0000077,3.594623377,5.718851313
236.0000078,3.293736016,5.769394736
237.0000078,3.541834796,5.780768126
238.0000078,3.606028268,4.206147557
239.0000079,3.307637661,5.72554655
240.0000079,3.812568415,5.683651535
241.0000079,4.090782896,5.856484867
242.0000079,3.856285021,5.722733647
243.000008,3.887130159,4.294135612
244.000008,3.940505304,5.670454675
245.000008,4.144771353,4.248308112
246.0000081,4.326489504,5.492529389
247.0000081,4.147788738,5.767701874
248.0000081,3.998684376,5.465060175
249.0000082,4.302700359,4.320071544
