,time,Backbone,C-alphas,Protein
0,0.0,5.868765024038462e-07,5.682407300226383e-07,5.848666268618721e-07
1,1.0000000328495406,1.2959542476524557,1.2962072219128074,1.713097721761363
2,2.0000000656990813,1.1900743218625889,1.1992307171581642,1.7549732893171726
3,3.0000000985486217,1.780431239410485,1.7919197132382045,2.260363218271463
4,4.000000131398163,2.147428744267925,2.1587257727893117,2.578704030436448
5,5.000000164247703,2.042913679623012,2.0726273639817676,2.5286497383333115
6,6.000000197097243,2.5637945242361706,2.582656784838884,2.9976407055546948
7,7.000000229946784,2.606135017145723,2.6413292725476136,3.0539336229717557
8,8.000000262796325,2.408559360084291,2.42423693355304,2.8888405159356707
9,9.000000295645865,2.7311153638750456,2.734717936476166,3.171137832849732
10,10.000000328495407,2.479716515955815,2.4939069033358496,3.0123809308971334
11,11.000000361344947,2.319435421698249,2.330088434345344,2.8788253648541664
12,12.000000394194487,2.7144199777623914,2.735109419843377,3.2556577943882
13,13.000000427044029,2.334384375209563,2.3445249096539222,2.9229563679232893
14,14.000000459893569,2.4111524830732467,2.425606441795837,3.0163538444136284
15,15.00000049274311,2.8790881853115704,2.9008467833713967,3.4487590896181977
16,16.00000052559265,3.256483776502722,3.2875792283252765,3.7900465234195453
17,17.000000558442192,3.3271618384946247,3.3474974965529714,3.850972407445601
18,18.00000059129173,3.6800535659838935,3.712013183890049,4.185861651195513
19,19.000000624141272,3.6412016402621976,3.6778929099465105,4.113459579178735
