,time,Backbone,C-alphas,Protein
0,0.0,1.4279782488309156e-06,0.0,4.1621759459684826e-08
1,1.0000000328495406,1.0791179769976946,1.0527369563439388,1.4980007330115832
2,2.0000000656990813,1.038335910672621,1.0065808158656977,1.501319692137029
3,3.0000000985486217,1.1863050255594898,1.1659310432467684,1.6415688401155974
4,4.000000131398163,1.2033521289232263,1.1783322291751221,1.6686423300078757
5,5.000000164247703,1.1488853006174262,1.120491692626966,1.7185587011143848
6,6.000000197097243,1.2381240995435596,1.2201319410814448,1.7492040075002446
7,7.000000229946784,1.2138019764251036,1.1927611218721406,1.7276307476660848
8,8.000000262796325,1.356325201056266,1.3556567440333374,1.8833611857973023
9,9.000000295645865,1.444172394117447,1.444170990259669,1.9268557767934378
10,10.000000328495407,1.4973689890622284,1.4946922064255146,1.9935637445433432
11,11.000000361344947,1.4111081961651084,1.4062918155624993,1.898847253402657
12,12.000000394194487,1.5545224362675798,1.545721023111634,2.0546041510025397
13,13.000000427044029,1.2892804616650524,1.2816362366824192,1.8845148959778542
14,14.000000459893569,1.516707136986221,1.499363049835859,2.0469975393520152
15,15.00000049274311,1.5278141602846265,1.525663017747994,2.089919677438861
16,16.00000052559265,1.439113159441212,1.4334391752789766,1.9960516996180682
17,17.000000558442192,1.5925444059542104,1.590387301688493,2.113848550759163
18,18.00000059129173,1.4965999290051208,1.499296109756299,2.0419249668863344
19,19.000000624141272,1.447407666952556,1.4290073111985824,2.00091050791686
20,20.000000656990814,1.5002390648487338,1.4979292425822461,2.056485584869385
21,21.000000689840352,1.5413534021861006,1.5406051909897551,2.080281674557099
22,22.000000722689894,1.5074827702542861,1.50006975196837,2.081003683842496
23,23.000000755539435,1.5314103468047922,1.534601186133874,2.0652729385877087
24,24.000000788388974,1.6044744330012066,1.6096510805486852,2.162459560023844
