,time,Backbone,C-alphas,Protein
0,0.0,1.3122957537723188e-06,3.4990281377093446e-07,3.7769969012440864e-07
1,1.0000000328495406,1.2769389059268597,1.2777614769673715,1.7032359540011017
2,2.0000000656990813,1.8562853614371804,1.8682439280559542,2.2990821904043917
3,3.0000000985486217,1.9768606550146877,1.989657729979729,2.4488917564906223
4,4.000000131398163,2.2571576405390346,2.28180164512756,2.745147410191606
5,5.000000164247703,2.322323153910076,2.350606191641228,2.7993996744988854
6,6.000000197097243,2.8717638334990374,2.9007341189061226,3.3044722893830603
7,7.000000229946784,3.2175071369664807,3.2328555486599355,3.5508951330808087
8,8.000000262796325,2.944271832595734,2.982439068747236,3.411201407774741
9,9.000000295645865,3.008170367328507,3.0395107228053333,3.504511487997359
10,10.000000328495407,2.9998658775781832,3.0489951464208707,3.492098002452294
11,11.000000361344947,3.158259898680575,3.1813975944042916,3.6203202202603064
12,12.000000394194487,3.708356746117062,3.7411571619031605,4.1560308410613445
13,13.000000427044029,3.5104440502955847,3.541674070336546,4.018993485045633
14,14.000000459893569,3.562031147536564,3.596190101016452,4.075870238211228
15,15.00000049274311,3.559389839205526,3.584734823003709,4.055057738226033
16,16.00000052559265,3.7281909679098177,3.7660076437453607,4.2033106727416945
17,17.000000558442192,3.8625895410561357,3.913833102243469,4.375397766835799
18,18.00000059129173,4.1631230254728795,4.198974352125516,4.623934634228799
19,19.000000624141272,4.093651973401454,4.142319209264344,4.588181329102499
