#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
76659,-915671.5522729969,178252.00113892969,-737419.5511340671,295.32655083523673,696.6801467553059,98.8
79992,-914289.9978975747,180228.48546795466,-734061.51242962,298.60117494010666,699.7542274149184,98.8
83325,-915503.7896042829,179203.3504810203,-736300.4391232627,296.90273914192517,698.4906609822951,98.7
86658,-915171.3837521579,179451.6059667482,-735719.7777854097,297.31404693009864,699.0359383028539,98.6
89991,-916328.5712747043,180276.46083670453,-736052.1104379997,298.68066016376434,697.8938940267099,98.6
93324,-915004.7101918003,179350.88063975223,-735653.829552048,297.14716597945903,699.6195307430622,98.6
96657,-915989.6349245645,180381.44292718198,-735608.1919973826,298.8545936875513,697.8154100701504,98.5
99990,-915416.0332236076,179787.50399276498,-735628.5292308426,297.8705602080538,698.8404669485399,98.4
103323,-916912.9633130552,179151.7109916777,-737761.2523213775,296.8171832313211,695.4111474189463,98.4
106656,-915561.6050539464,180541.4273149284,-735020.177739018,299.11965459637,697.0893846574594,98.3
109989,-914984.7523904443,179540.44020658778,-735444.3121838565,297.46122681857264,697.1731270817106,98.3
113322,-914454.6407935722,179735.50842556194,-734719.1323680102,297.7844143503766,696.6678626092987,98.4
116655,-913870.594024728,179692.6855354842,-734177.9084892438,297.7134657139369,698.901800336935,98.2
119988,-916019.3116694205,179284.0231523457,-736735.2885170748,297.03639700616776,696.2627706913713,98.2
123321,-914915.6766769504,180094.62467533245,-734821.052001618,298.37939540369416,698.9600922319775,98.2
126654,-914558.4401706308,179263.3372468988,-735295.102923732,297.0021247563893,698.3301980869973,98.2
129987,-913529.8939907262,179441.4570578724,-734088.4369328538,297.29723229557067,696.8756346893016,98.2
133320,-914667.6114903195,180021.2649078986,-734646.3465824209,298.25785350263345,697.0537579327901,98.1
136653,-915054.7902189838,179568.5193928901,-735486.2708260936,297.5077481994712,699.1188731518735,98.1
139986,-915874.2122578416,180359.78483852313,-735514.4274193185,298.8187107320701,698.3619779218086,98.1
143319,-915040.0840863287,179762.635237369,-735277.4488489598,297.8293578445026,698.1707357906887,98.1
146652,-916655.1634878702,180886.92798578908,-735768.2355020812,299.6920774627872,695.7984920826242,98.1
149985,-916003.8292028671,180451.0711919726,-735552.7580108945,298.9699532636002,698.5548911893547,98.1
153318,-914601.1894214004,179758.31204209887,-734842.8773793016,297.8221952076763,698.8535653657254,98.1
156651,-914042.5596176796,180264.90319514944,-733777.6564225301,298.66151155171815,697.7562864438408,98
159984,-914557.2168721305,179731.089710403,-734826.1271617275,297.77709345692983,697.9432509303833,98
163317,-915706.6464462094,180075.69734891003,-735630.9490972994,298.3480367541803,696.3896509449929,98
166650,-915586.9858863261,179963.6814996166,-735623.3043867095,298.1624497526356,697.21016527574,98
169983,-916246.498786781,179802.50002725277,-736443.9987595282,297.8954055231874,696.999957708809,98
173316,-914548.9461623821,179916.58643010596,-734632.3597322762,298.08442300201824,699.3067519771474,98
176649,-916664.2776737865,178319.74664086476,-738344.5310329217,295.43879106420053,697.0306719956993,97.9
179982,-915709.3586533433,180334.75387488952,-735374.6047784537,298.77723962315264,698.7950281734574,97.9
183315,-917622.200493549,178607.28606234322,-739014.9144312057,295.91518417637775,696.7636681644992,97.9
186648,-915292.7024953412,180134.6912772755,-735158.0112180656,298.44577744305377,697.9452533030725,97.9
189981,-917205.2525823927,179980.53315265465,-737224.719429738,298.1903694423771,696.340273177341,97.9
193314,-915030.9202750856,180317.13764742884,-734713.7826276568,298.7480531923611,697.0108632740524,97.9
196647,-916020.1938728038,180180.48110902298,-735839.7127637808,298.52164168573773,695.7250823143318,97.8
199980,-916163.2728186985,179741.30484179323,-736421.9679769053,297.7940178084128,696.4761328688633,97.9
203313,-915901.297494458,180068.25906416628,-735833.0384302917,298.33571306096246,697.2363499643999,97.9
206646,-915539.8675807081,180365.12368978828,-735174.7438909198,298.8275560999733,697.0181829097875,97.8
209979,-914452.418923093,180723.78381861764,-733728.6351044753,299.4217814556076,697.080510971473,97.8
213312,-915558.923810143,178974.37636203866,-736584.5474481044,296.52337657456366,696.1779335103025,97.8
216645,-914563.6295776907,180710.65033675998,-733852.9792409308,299.40002200341235,699.2112082156048,97.8
219978,-915553.9883527439,180298.97079964838,-735255.0175530955,298.71795449803915,697.6270275519993,97.8
223311,-913377.7156907273,180030.11576115584,-733347.5999295715,298.27251752855017,698.2220823310438,97.8
226644,-913639.963234758,180308.41044851777,-733331.5527862402,298.7335940360184,698.9549857327951,97.8
229977,-915101.9762779921,179605.103656973,-735496.8726210191,297.568360728124,699.0230113693783,97.8
